gameName,tagLine,platformRegion,puuid,proName,teamName,type,source,sourceSlug,league,role,tier,lp,wins,losses
indoor fish,EUW,EUW1,10BEtsTa1cBBQQp5RO2JOm7hRCysw6f_yTGP0khJkdr4D7aPHgppd13Bkhj76wRJdgsCfqiLakum3Q,Kofte,BBL Dark Passage,pro,https://www.probuild.gg/pro/kofte,kofte,TCL,mid,Challenger,2244,369,281
독침붕,딱충이,KR,uy2xTb2u5Mw6F0zYu48QV1rNahi9qTKa3p_WQ3Y853Wam_QUv0v40K5vWHHPx1IG6sQ2B_V82RE_Tg,Cuzz,kt Rolster,pro,https://www.probuild.gg/pro/cuzz,cuzz,LCK,jungle,Challenger,2236,240,157
Duro,Gen,KR,exO5kerY7r1UB-nF_sn_EpDp6zbRb_Bk16arv2WCxalcfLWmS0M8j_WRNjorbYS0ISRug-19r_i-QQ,Duro,Gen.G Esports,pro,https://www.probuild.gg/pro/duro,duro,LCK,supp,Challenger,2231,186,140
허거덩,0303,KR,5Q6X9yViH0ZLtCcummbtx7UMWV7U-hCYBL-4TuQWWDcvzjDbeq_kpOiI7cl0O3iJVTQw_e8nkmZUVA,Chovy,Gen.G Esports,pro,https://www.probuild.gg/pro/chovy,chovy,LCK,mid,Challenger,2220,141,82
JG top boy,lync1,EUW1,6lPPmHkFPk0e7Dl3GgsGyqFw_3NLpyiDkwOeT7B0lAU8PMqvbnDX0m0OkjMlTEOpwN-tfkcNGMU2uw,Lyncas,Team Vitality,pro,https://www.probuild.gg/pro/lyncas,lyncas,LEC,jungle,Challenger,2219,422,275
Byron Love,1v9,EUW1,LX91oFhTcwQwRj25nqMwcJxa2VL4jFveDFVJXdDl9aHv7jHjqHZMBCSEqtNbRUvis7uUMHaH0Fzvug,Oscarinin,Fnatic,pro,https://www.probuild.gg/pro/oscarinin,oscarinin,LEC,top,Challenger,2154,392,289
Blue,KR33,KR,B2Igt4IpGWwUuT2J9lgjvNqVAOYbuLsCCf5ycQie8mEKqzzcmHWlIXu7-3SMzNbPJzeGG8d-IBsqaQ,Viper,Hanwha Life Esports,pro,https://www.probuild.gg/pro/viper,viper,LCK,adc,Challenger,2153,280,234
Not Bad,KR2,KR,YSczkZ4VlfjS8VwqWDlS7TzJBKvxdL0GCcTvzVT8afsKLBHIS3ICYD9AJjA2JtzS0WerBDP1YH01IA,Sponge,DRX,pro,https://www.probuild.gg/pro/sponge,sponge,LCK,jungle,Challenger,2150,347,276
Heart,KR1,KR,Czq0DxIKNlxccai8L7Uk6OivcHLBsSmFezTlJEJ0icOYM8JdcjtMbv2xmiHYpjNCQBiPxJsOYEGZPA,Doinb,Shenzhen Ninjas in Pyjamas,pro,https://www.probuild.gg/pro/doinb,doinb,LPL,mid,Challenger,2135,240,186
키보드에음료쏟아서고장내는이도윤,KR1,KR,xEpl_l8MraSHhQqhcVc3KLDi7eKaj_IoHzmuxQ261If_Cwfda2SPa_2gd0MxuLpEFcs0wnZiY9ydPg,ON,Bilibili Gaming DreamSmart,pro,https://www.probuild.gg/pro/on,on,LPL,supp,Challenger,2106,204,166
